"Wavelength","HOURS","sample_name","sample","blank","intensity_bl_corrected"
600,7.32583333333333,"SD-1  DMR",0.789,0.41,0.379
600,7.32583333333333,"SD-1  DMR+ Ferric citrate",1.114,0.675,0.439
600,7.32583333333333,"SD-1  medium bicarb + Ferric Citrate",0.984,0.252,0.732
600,7.32583333333333,"SD-1  medium PIPES + Ferric Citrate",0.376,0.365,0.011
600,7.32583333333333,"SD-1  medium PIPES + Ferric Citrate + lactate",0.345,0.356,-0.011
600,7.32583333333333,"SD-1 Defined media + Acetate",0.188,0.192,-0.004
600,7.32583333333333,"SD-1 Defined media + Acetate, pyruvate, formate, lactate",0.8,0.269,0.531
600,7.65944444444444,"PCA + DMR",0.396,0.414,-0.018
600,7.65944444444444,"PCA + DMR + Fumarate",0.348,0.37,-0.022
600,7.65944444444444,"PCA + medium + Fumarate",0.099,0.089,0.01
600,7.65944444444444,"SD-1  DMR",0.79,0.41,0.38
600,7.65944444444444,"SD-1  DMR+ Ferric citrate",1.107,0.674,0.433
600,7.65944444444444,"SD-1  medium bicarb + Ferric Citrate",0.986,0.253,0.733
600,7.65944444444444,"SD-1  medium PIPES + Ferric Citrate",0.377,0.368,0.00900000000000001
600,7.65944444444444,"SD-1  medium PIPES + Ferric Citrate + lactate",0.345,0.356,-0.011
600,7.65944444444444,"SD-1 Defined media + Acetate",0.188,0.193,-0.005
600,7.65944444444444,"SD-1 Defined media + Acetate, pyruvate, formate, lactate",0.796,0.27,0.526
600,7.99305555555556,"PCA + DMR",0.396,0.414,-0.018
600,7.99305555555556,"PCA + DMR + Fumarate",0.348,0.37,-0.022
600,7.99305555555556,"PCA + medium + Fumarate",0.1,0.094,0.00600000000000001
600,7.99305555555556,"SD-1  DMR",0.792,0.411,0.381
600,7.99305555555556,"SD-1  DMR+ Ferric citrate",1.103,0.674,0.429
600,7.99305555555556,"SD-1  medium bicarb + Ferric Citrate",0.988,0.254,0.734
600,7.99305555555556,"SD-1  medium PIPES + Ferric Citrate",0.377,0.366,0.011
600,7.99305555555556,"SD-1  medium PIPES + Ferric Citrate + lactate",0.346,0.356,-0.01
600,7.99305555555556,"SD-1 Defined media + Acetate",0.188,0.193,-0.005
600,7.99305555555556,"SD-1 Defined media + Acetate, pyruvate, formate, lactate",0.792,0.27,0.522
600,8.32666666666667,"PCA + DMR",0.396,0.414,-0.018
600,8.32666666666667,"PCA + DMR + Fumarate",0.348,0.37,-0.022
600,8.32666666666667,"PCA + medium + Fumarate",0.1,0.089,0.011
600,8.32666666666667,"SD-1  DMR",0.793,0.412,0.381
600,8.32666666666667,"SD-1  DMR+ Ferric citrate",1.1,0.673,0.427
600,8.32666666666667,"SD-1  medium bicarb + Ferric Citrate",0.99,0.254,0.736
600,8.32666666666667,"SD-1  medium PIPES + Ferric Citrate",0.378,0.368,0.01
600,8.32666666666667,"SD-1  medium PIPES + Ferric Citrate + lactate",0.345,0.356,-0.011
600,8.32666666666667,"SD-1 Defined media + Acetate",0.188,0.193,-0.005
600,8.32666666666667,"SD-1 Defined media + Acetate, pyruvate, formate, lactate",0.789,0.269,0.52
600,8.66027777777778,"PCA + DMR",0.396,0.414,-0.018
600,8.66027777777778,"PCA + DMR + Fumarate",0.348,0.37,-0.022
600,8.66027777777778,"PCA + medium + Fumarate",0.1,0.09,0.01
600,8.66027777777778,"SD-1  DMR",0.794,0.412,0.382
600,8.66027777777778,"SD-1  DMR+ Ferric citrate",1.099,0.67,0.429
600,8.66027777777778,"SD-1  medium bicarb + Ferric Citrate",0.991,0.255,0.736
600,8.66027777777778,"SD-1  medium PIPES + Ferric Citrate",0.378,0.366,0.012
600,8.66027777777778,"SD-1  medium PIPES + Ferric Citrate + lactate",0.345,0.356,-0.011
600,8.66027777777778,"SD-1 Defined media + Acetate",0.188,0.192,-0.004
600,8.66027777777778,"SD-1 Defined media + Acetate, pyruvate, formate, lactate",0.784,0.27,0.514
600,8.99388888888889,"PCA + DMR",0.396,0.414,-0.018
600,8.99388888888889,"PCA + DMR + Fumarate",0.348,0.371,-0.023
600,8.99388888888889,"PCA + medium + Fumarate",0.1,0.09,0.01
600,8.99388888888889,"SD-1  DMR",0.796,0.413,0.383
600,8.99388888888889,"SD-1  DMR+ Ferric citrate",1.097,0.671,0.426
600,8.99388888888889,"SD-1  medium bicarb + Ferric Citrate",0.992,0.254,0.738
600,8.99388888888889,"SD-1  medium PIPES + Ferric Citrate",0.378,0.368,0.01
600,8.99388888888889,"SD-1  medium PIPES + Ferric Citrate + lactate",0.344,0.356,-0.012
600,8.99388888888889,"SD-1 Defined media + Acetate",0.188,0.192,-0.004
600,8.99388888888889,"SD-1 Defined media + Acetate, pyruvate, formate, lactate",0.78,0.27,0.51
600,9.3275,"PCA + DMR",0.396,0.414,-0.018
600,9.3275,"PCA + DMR + Fumarate",0.347,0.37,-0.023
600,9.3275,"PCA + medium + Fumarate",0.099,0.089,0.01
600,9.3275,"SD-1  DMR",0.797,0.414,0.383
600,9.3275,"SD-1  DMR+ Ferric citrate",1.093,0.669,0.424
600,9.3275,"SD-1  medium bicarb + Ferric Citrate",0.994,0.254,0.74
600,9.3275,"SD-1  medium PIPES + Ferric Citrate",0.378,0.368,0.01
600,9.3275,"SD-1  medium PIPES + Ferric Citrate + lactate",0.344,0.356,-0.012
600,9.3275,"SD-1 Defined media + Acetate",0.188,0.192,-0.004
600,9.3275,"SD-1 Defined media + Acetate, pyruvate, formate, lactate",0.775,0.27,0.505
600,9.66111111111111,"PCA + DMR",0.396,0.414,-0.018
600,9.66111111111111,"PCA + DMR + Fumarate",0.348,0.37,-0.022
600,9.66111111111111,"PCA + medium + Fumarate",0.099,0.089,0.01
600,9.66111111111111,"SD-1  DMR",0.797,0.415,0.382
600,9.66111111111111,"SD-1  DMR+ Ferric citrate",1.088,0.67,0.418
600,9.66111111111111,"SD-1  medium bicarb + Ferric Citrate",0.995,0.256,0.739
600,9.66111111111111,"SD-1  medium PIPES + Ferric Citrate",0.379,0.368,0.011
600,9.66111111111111,"SD-1  medium PIPES + Ferric Citrate + lactate",0.342,0.357,-0.015
600,9.66111111111111,"SD-1 Defined media + Acetate",0.188,0.192,-0.004
600,9.66111111111111,"SD-1 Defined media + Acetate, pyruvate, formate, lactate",0.772,0.269,0.503
600,9.99472222222222,"PCA + DMR",0.396,0.414,-0.018
600,9.99472222222222,"PCA + DMR + Fumarate",0.347,0.37,-0.023
600,9.99472222222222,"PCA + medium + Fumarate",0.099,0.089,0.01
600,9.99472222222222,"SD-1  DMR",0.799,0.416,0.383
600,9.99472222222222,"SD-1  DMR+ Ferric citrate",1.085,0.669,0.416
600,9.99472222222222,"SD-1  medium bicarb + Ferric Citrate",0.996,0.256,0.74
600,9.99472222222222,"SD-1  medium PIPES + Ferric Citrate",0.379,0.366,0.013
600,9.99472222222222,"SD-1  medium PIPES + Ferric Citrate + lactate",0.342,0.357,-0.015
600,9.99472222222222,"SD-1 Defined media + Acetate",0.19,0.195,-0.005
600,9.99472222222222,"SD-1 Defined media + Acetate, pyruvate, formate, lactate",0.768,0.27,0.498
600,10.3283333333333,"PCA + DMR",0.395,0.414,-0.019
600,10.3283333333333,"PCA + DMR + Fumarate",0.348,0.37,-0.022
600,10.3283333333333,"PCA + medium + Fumarate",0.099,0.094,0.005
600,10.3283333333333,"SD-1  DMR",0.8,0.416,0.384
600,10.3283333333333,"SD-1  DMR+ Ferric citrate",1.082,0.669,0.413
600,10.3283333333333,"SD-1  medium bicarb + Ferric Citrate",0.997,0.257,0.74
600,10.3283333333333,"SD-1  medium PIPES + Ferric Citrate",0.38,0.37,0.01
600,10.3283333333333,"SD-1  medium PIPES + Ferric Citrate + lactate",0.342,0.357,-0.015
600,10.3283333333333,"SD-1 Defined media + Acetate",0.188,0.192,-0.004
600,10.3283333333333,"SD-1 Defined media + Acetate, pyruvate, formate, lactate",0.766,0.269,0.497
600,10.6619444444444,"PCA + DMR",0.396,0.415,-0.019
600,10.6619444444444,"PCA + DMR + Fumarate",0.348,0.37,-0.022
600,10.6619444444444,"PCA + medium + Fumarate",0.099,0.091,0.00800000000000001
600,10.6619444444444,"SD-1  DMR",0.801,0.418,0.383
600,10.6619444444444,"SD-1  DMR+ Ferric citrate",1.079,0.668,0.411
600,10.6619444444444,"SD-1  medium bicarb + Ferric Citrate",0.999,0.256,0.743
600,10.6619444444444,"SD-1  medium PIPES + Ferric Citrate",0.381,0.368,0.013
600,10.6619444444444,"SD-1  medium PIPES + Ferric Citrate + lactate",0.342,0.358,-0.016
600,10.6619444444444,"SD-1 Defined media + Acetate",0.188,0.192,-0.004
600,10.6619444444444,"SD-1 Defined media + Acetate, pyruvate, formate, lactate",0.761,0.27,0.491
600,10.9955555555556,"PCA + DMR",0.396,0.418,-0.022
600,10.9955555555556,"PCA + DMR + Fumarate",0.348,0.37,-0.022
600,10.9955555555556,"PCA + medium + Fumarate",0.099,0.091,0.00800000000000001
600,10.9955555555556,"SD-1  DMR",0.802,0.419,0.383
600,10.9955555555556,"SD-1  DMR+ Ferric citrate",1.074,0.668,0.406
600,10.9955555555556,"SD-1  medium bicarb + Ferric Citrate",1,0.257,0.743
600,10.9955555555556,"SD-1  medium PIPES + Ferric Citrate",0.38,0.37,0.01
600,10.9955555555556,"SD-1  medium PIPES + Ferric Citrate + lactate",0.342,0.358,-0.016
600,10.9955555555556,"SD-1 Defined media + Acetate",0.188,0.193,-0.005
600,10.9955555555556,"SD-1 Defined media + Acetate, pyruvate, formate, lactate",0.758,0.27,0.488
600,11.3291666666667,"PCA + DMR",0.396,0.415,-0.019
600,11.3291666666667,"PCA + DMR + Fumarate",0.348,0.37,-0.022
600,11.3291666666667,"PCA + medium + Fumarate",0.099,0.089,0.01
600,11.3291666666667,"SD-1  DMR",0.803,0.419,0.384
600,11.3291666666667,"SD-1  DMR+ Ferric citrate",1.071,0.667,0.404
600,11.3291666666667,"SD-1  medium bicarb + Ferric Citrate",1.001,0.258,0.743
600,11.3291666666667,"SD-1  medium PIPES + Ferric Citrate",0.381,0.368,0.013
600,11.3291666666667,"SD-1  medium PIPES + Ferric Citrate + lactate",0.342,0.358,-0.016
600,11.3291666666667,"SD-1 Defined media + Acetate",0.188,0.192,-0.004
600,11.3291666666667,"SD-1 Defined media + Acetate, pyruvate, formate, lactate",0.755,0.27,0.485
600,11.6627777777778,"PCA + DMR",0.396,0.415,-0.019
600,11.6627777777778,"PCA + DMR + Fumarate",0.348,0.37,-0.022
